ntrees,lr,folds,block,image
50,0.005,T,0.42000230707117314,0.36677195555304865
50,0.01,F1,0.5377073906485671,0.13238198381856403
50,0.01,F2,0.3746987306518129,0.025836656840645067
50,0.01,F3,0.5266099261689909,0.030376363505020598
50,0.01,F4,0.293379749114699,0.012770875469517495
50,0.01,F5,0.3424789153410911,0.022499724942237842
50,0.01,F6,0.42945131653236157,0.3800142570150995
50,0.01,F7,0.42903889797857175,0.086682598305453
50,0.01,F8,0.25836309673524827,0.17208459214501515
50,0.01,A,0.3989660028964178,0.10783088150519408
50,0.01,T,0.28304879455531207,0.15051610355914036
50,0.025,F1,0.4617124956491472,0.1306300566987323
50,0.025,F2,0.3195329655615661,0.01404543089994803
50,0.025,F3,0.3351107465135357,0.026872787690529476
50,0.025,F4,0.27969509633275313,0.014504478474429372
50,0.025,F5,0.3267855236468453,0.017878754538453112
50,0.025,F6,0.23071395575630038,0.3804678893137191
50,0.025,F7,0.2785137488784504,0.08581359982620029
50,0.025,F8,0.2579103576638664,0.1769788519637462
50,0.025,A,0.3112468612503081,0.10589898117571973
50,0.025,T,0.2695235898027454,0.147921484573298
50,0.05,F1,0.4466875507599489,0.1298018729693572
50,0.05,F2,0.32172888436612934,0.008236518120339875
50,0.05,F3,0.3290607054963085,0.026439355631004857
50,0.05,F4,0.2795750555188764,0.019763074255995328
50,0.05,F5,0.32438347389772604,0.017108592804488953
50,0.05,F6,0.22609454396140227,0.3732745771498931
50,0.05,F7,0.27619148150102923,0.08485770149902239
50,0.05,F8,0.2571557925448966,0.17734138972809665
50,0.05,A,0.30760968600578964,0.10460288526977479
50,0.05,T,0.26704348829161384,0.14202718709459083
50,0.075,F1,0.4460494256874348,0.1284003312734917
50,0.075,F2,0.32258582828986127,0.007846367262007936
50,0.075,F3,0.32275430680885975,0.02611428158636131
50,0.075,F4,0.28167576976171893,0.018780699219878683
50,0.075,F5,0.32230169744848935,0.017108592804488953
50,0.075,F6,0.2255812759841913,0.36290583889572936
50,0.075,F7,0.274924790204254,0.08494460134694759
50,0.075,F8,0.25916796619548266,0.17613293051359513
50,0.075,A,0.3068801325475365,0.10277920536281258
50,0.075,T,0.26609182143269117,0.14199898471430994
50,0.1,F1,0.44338090265692076,0.1284003312734917
50,0.1,F2,0.32113973541856355,0.007846367262007936
50,0.1,F3,0.3205496308449549,0.02553637217366178
50,0.1,F4,0.28167576976171893,0.018607338919387484
50,0.1,F5,0.32411657948115724,0.01765870832874905
50,0.1,F6,0.21906277267361285,0.36310025273799496
50,0.1,F7,0.2746608961840925,0.0888985444275473
50,0.1,F8,0.25911766185421803,0.1828398791540785
50,0.1,A,0.3054629936094049,0.10411097428461484
50,0.1,T,0.2669858115122852,0.14199898471430994
50,0.25,F1,0.4431488571760065,0.13394279161623235
50,0.25,F2,0.321889561351829,0.012441477371250231
50,0.25,F3,0.31983182936833465,0.029003828649859176
50,0.25,F4,0.3029830142248364,0.027448714244438066
50,0.25,F5,0.3186185544998399,0.019199031796677257
50,0.25,F6,0.21901144587589183,0.35234268679930014
50,0.25,F7,0.27951654615506416,0.09771887899196174
50,0.25,F8,0.2571557925448966,0.2606646525679759
50,0.25,A,0.3077694501495874,0.11659525775471186
50,0.25,T,0.26640904371899876,0.14902137740425292
50,0.5,F1,0.438275902076807,0.1391985729757278
50,0.5,F2,0.3204434684805313,0.011704525749956618
50,0.5,F3,0.3182936833470057,0.03315755255363717
50,0.5,F4,0.3080247284076586,0.04819416353655015
50,0.5,F5,0.31141240525248215,0.020959401474309636
50,0.5,F6,0.21726633475337476,0.37379301406260124
50,0.5,F7,0.28621945426716633,0.1051922659135347
50,0.5,F8,0.26128074852859806,0.26537764350453175
50,0.5,A,0.30765209063920296,0.12469714247135613
50,0.5,T,0.2656304071980621,0.1647583056009927
50,0.75,F1,0.4376957883745214,0.1462381346754157
50,0.75,F2,0.33029832360344924,0.012658227848101222
50,0.75,F3,0.31696062346185394,0.03503575814491078
50,0.75,F4,0.3091050957325491,0.061716266974862766
50,0.75,F5,0.32224831856517566,0.022389701837385867
50,0.75,F6,0.21993532823487139,0.37314496792171603
50,0.75,F7,0.28722225154378,0.1113621551162286
50,0.75,F8,0.26208561798883245,0.2729305135951662
50,0.75,A,0.31069391843812916,0.1294344657642234
50,0.75,T,0.26568808397739074,0.17014496023464376
75,0.005,F1,0.5377073906485671,0.6367777282283239
75,0.005,F2,0.3746987306518129,0.6384168545170799
75,0.005,F3,0.5266099261689909,0.030376363505020598
75,0.005,F4,0.3629434007562571,0.012366368101704661
75,0.005,F5,0.4537738870502829,0.022499724942237842
75,0.005,F6,0.42945131653236157,0.3800142570150995
75,0.005,F7,0.42903889797857175,0.086682598305453
75,0.005,F8,0.30957291614266313,0.4850755287009063
75,0.005,A,0.4279745582411884,0.2865261779144782
75,0.005,T,0.42000230707117314,0.15051610355914036
75,0.01,F1,0.4663534052674324,0.13238198381856403
75,0.01,F2,0.3174977237427026,0.025836656840645067
75,0.01,F3,0.34203240360951603,0.027450697103229116
75,0.01,F4,0.28647740231678775,0.012770875469517495
75,0.01,F5,0.33297747411124157,0.0206293321597536
75,0.01,F6,0.23399887081045012,0.3800142570150995
75,0.01,F7,0.2793054309389349,0.08633499891375185
75,0.01,F8,0.2580612706876604,0.1778851963746224
75,0.01,A,0.3145879976855907,0.10791299971189788
75,0.01,T,0.28108778405813817,0.1502340797563314
75,0.025,F1,0.45440306300034805,0.12999299229152073
75,0.025,F2,0.32076482245193083,0.009840471649037674
75,0.025,F3,0.33106029532403614,0.026330997616123675
75,0.025,F4,0.27849468819398593,0.014504478474429372
75,0.025,F5,0.3254510515640012,0.017108592804488953
75,0.025,F6,0.22809628907252477,0.38098632622642736
75,0.025,F7,0.27729983638570754,0.08585704975016295
75,0.025,F8,0.25735700990995525,0.17854984894259818
75,0.025,A,0.3091158819878112,0.10539634471934861
75,0.025,T,0.26793747837120774,0.14597552033391614
75,0.05,F1,0.4447151641721777,0.12811365229024652
